"","keyword","ngram","freq","rake","key"
"460","adults family",2,2,5.83695652173913,"adults family"
"461","latino family",2,2,5.83695652173913,"latino family"
"462","dorchester historic",2,8,5.80447562441132,"dorchester historic"
"463","plenty",1,5,5.79166666666667,"plenty"
"464","privacy residential",2,2,5.78395061728395,"privacy residential"
"465","reach",1,2,5.76923076923077,"reach"
"466","church",1,10,5.72916666666667,"church"
"467","house",1,37,5.7020316027088,"house"
"468","victorian",1,2,5.69811320754717,"victorian"
"469","airport",1,3,5.69047619047619,"airport"
"470","fantastic",1,9,5.68292682926829,"fantastic"
"471","hip",1,7,5.68,"hip"
"472","history",1,13,5.6605504587156,"history"
"473","june",1,2,5.63636363636364,"june"
"474","urban environ",2,3,5.63356164383562,"urban environ"
"475","beautiful",1,21,5.6113074204947,"beautiful"
"476","favorite",1,7,5.5679012345679,"favorite"
"477","home",1,5,5.55882352941176,"home"
"478","enviable location",2,2,5.53380782918149,"enviable location"
"479","awesome",1,2,5.53125,"awesome"
"480","main",1,2,5.52173913043478,"main"
"481","village",1,10,5.52173913043478,"village"
"482","cozy gastropub",2,8,5.52,"cozy gastropub"
"483","target",1,5,5.5,"target"
"484","top",1,6,5.5,"top"
"485","primark apartment",2,3,5.49950738916256,"primark apartment"
"486","guest",1,7,5.48936170212766,"guest"
"487","gym",1,6,5.48484848484848,"gym"
"488","unique",1,8,5.46666666666667,"unique"
"489","pride",1,2,5.46153846153846,"pride"
"490","hottest",1,13,5.45945945945946,"hottest"
"491","hr",1,2,5.45454545454545,"hr"
"492","belove",1,2,5.42857142857143,"belove"
"493","landmark",1,2,5.41463414634146,"landmark"
"494","ethnic",1,7,5.39024390243902,"ethnic"
"495","seaport",1,13,5.3801652892562,"seaport"
"496","gem",1,4,5.36842105263158,"gem"
"497","mbta",1,4,5.35714285714286,"mbta"
"498","copley",1,35,5.34319526627219,"copley"
"499","run",1,2,5.34210526315789,"run"
"500","jogger",1,2,5.33333333333333,"jogger"
"501","day parade",2,7,5.31854838709677,"day parade"
"502","national",1,8,5.31818181818182,"national"
"503","neighborhoods",1,34,5.31007751937984,"neighborhoods"
"504","convenient",1,11,5.30817610062893,"convenient"
"505","waldo emerson",2,3,5.30769230769231,"waldo emerson"
"506","beth",1,3,5.3,"beth"
"507","attraction",1,12,5.28638497652582,"attraction"
"508","road",1,2,5.27272727272727,"road"
"509","play",1,3,5.26666666666667,"play"
"510","building",1,25,5.26347305389222,"building"
"511","coastal breeze",2,2,5.25,"coastal breeze"
"512","feel",1,3,5.25,"feel"
"513","hotel",1,3,5.25,"hotel"
"514","miss beacon",2,4,5.24194756554307,"miss beacon"
"515","love neighborhood",2,3,5.23414304993252,"love neighborhood"
"516","list",1,2,5.21739130434783,"list"
"517","views",1,3,5.21428571428571,"views"
"518","triangle trilogy",2,15,5.15,"triangle trilogy"
"519","office",1,3,5.14285714285714,"office"
"520","suburban",1,2,5.13333333333333,"suburban"
"521","addition",1,7,5.11111111111111,"addition"
"522","minute",1,128,5.10732984293194,"minute"
"523","residence",1,2,5.07692307692308,"residence"
"524","jumbo seafood",2,7,5.07142857142857,"jumbo seafood"
"525","people",1,14,5.07142857142857,"people"
"526","accessible",1,8,5,"accessible"
"527","circle",1,3,5,"circle"
"528","condo",1,15,5,"condo"
"529","ponds",1,2,5,"ponds"
"530","walkway witch",2,2,5,"walkway witch"
"531","authentic",1,2,4.97826086956522,"authentic"
"532","vibrant",1,10,4.97560975609756,"vibrant"
"533","short",1,26,4.95813953488372,"short"
"534","quick",1,11,4.95384615384615,"quick"
"535","sowa",1,3,4.94736842105263,"sowa"
"536","guidebook",1,2,4.88888888888889,"guidebook"
"537","blue",1,4,4.87179487179487,"blue"
"538","massachusett",1,8,4.86046511627907,"massachusett"
"539","unit",1,4,4.84210526315789,"unit"
"540","family",1,7,4.83695652173913,"family"
"541","lovely",1,5,4.83018867924528,"lovely"
"542","quaint",1,3,4.82142857142857,"quaint"
"543","friendly",1,6,4.81889763779528,"friendly"
"544","cambridge",1,19,4.80141843971631,"cambridge"
"545","prior",1,3,4.8,"prior"
"546","bc",1,4,4.76923076923077,"bc"
"547","picturesque",1,5,4.76470588235294,"picturesque"
"548","century",1,2,4.75806451612903,"century"
"549","brownstone",1,12,4.73611111111111,"brownstone"
"550","town",1,17,4.68817204301075,"town"
"551","owner",1,3,4.62962962962963,"owner"
"552","station",1,35,4.58723404255319,"station"
"553","version",1,2,4.57142857142857,"version"
"554","nice",1,16,4.56382978723404,"nice"
"555","townhouse",1,7,4.55263157894737,"townhouse"
"556","navy",1,2,4.54166666666667,"navy"
"557","location",1,20,4.53380782918149,"location"
"558","location location location",1,2,4.53380782918149,"location location location"
"559","progressive eng",2,5,4.5,"progressive eng"
"560","resident",1,6,4.49593495934959,"resident"
"561","roslindale",1,6,4.43939393939394,"roslindale"
"562","neighbors",1,6,4.40740740740741,"neighbors"
"563","traffic",1,2,4.40740740740741,"traffic"
"564","min",1,61,4.38769230769231,"min"
"565","base radian",2,5,4.33333333333333,"base radian"
"566","crowd",1,5,4.33333333333333,"crowd"
"567","link",1,2,4.33333333333333,"link"
"568","monthly",1,2,4.33333333333333,"monthly"
"569","sophia",1,2,4.33333333333333,"sophia"
"570","table",1,3,4.3,"table"
"571","artisan",1,7,4.24137931034483,"artisan"
"572","procession procession",1,2,4.22222222222222,"procession procession"
"573","apartment",1,66,4.21379310344828,"apartment"
"574","miss deep",2,8,4.19393939393939,"miss deep"
"575","day",1,11,4.19354838709677,"day"
"576","walkable",1,2,4.19047619047619,"walkable"
"577","tapa",1,3,4.17241379310345,"tapa"
"578","pool",1,7,4.05263157894737,"pool"
"579","european",1,5,4,"european"
"580","love",1,22,3.96491228070175,"love"
"581","desirable expensive",2,14,3.96052631578947,"desirable expensive"
"582","affect peaceful",2,2,3.95348837209302,"affect peaceful"
"583","pm",1,6,3.94117647058824,"pm"
"584","hidden",1,23,3.9047619047619,"hidden"
"585","red",1,30,3.89430894308943,"red"
"586","bridge",1,4,3.875,"bridge"
"587","largest",1,11,3.86111111111111,"largest"
"588","pocket",1,2,3.85714285714286,"pocket"
"589","fig",1,2,3.83333333333333,"fig"
"590","hungry",1,2,3.83333333333333,"hungry"
"591","charme",1,3,3.8135593220339,"charme"
"592","central",1,14,3.81012658227848,"central"
"593","game",1,5,3.80952380952381,"game"
"594","savin",1,12,3.8,"savin"
"595","residential",1,42,3.78395061728395,"residential"
"596","monument",1,5,3.77777777777778,"monument"
"597","washington",1,15,3.75555555555556,"washington"
"598","charm",1,2,3.75,"charm"
"599","aquarium",1,26,3.74242424242424,"aquarium"
"600","apt",1,2,3.72727272727273,"apt"
"601","commonwealth",1,11,3.70588235294118,"commonwealth"
"602","andrew",1,6,3.69565217391304,"andrew"
"603","daughter farmer",2,4,3.66666666666667,"daughter farmer"
"604","real",1,9,3.66666666666667,"real"
"605","time",1,12,3.65217391304348,"time"
"606","tavern",1,2,3.61904761904762,"tavern"
"607","chinatown",1,10,3.61666666666667,"chinatown"
"608","annual",1,6,3.55555555555556,"annual"
"609","necklace",1,14,3.53061224489796,"necklace"
"610","grill",1,2,3.5,"grill"
"611","border",1,2,3.47619047619048,"border"
"612","roxbury",1,9,3.45901639344262,"roxbury"
"613","backyard",1,2,3.44444444444444,"backyard"
"614","intersection",1,4,3.43333333333333,"intersection"
"615","tree",1,28,3.41818181818182,"tree"
"616","charlestown",1,6,3.41304347826087,"charlestown"
"617","trader",1,2,3.41176470588235,"trader"
"618","amtrak",1,2,3.4,"amtrak"
"619","urban",1,13,3.38356164383562,"urban"
"620","diverse",1,46,3.36714975845411,"diverse"
"621","due",1,8,3.33333333333333,"due"
"622","heart",1,48,3.31491712707182,"heart"
"623","huntington",1,2,3.15384615384615,"huntington"
"624","historic",1,81,3.14790996784566,"historic"
"625","safe",1,52,3.0607476635514,"safe"
"626","black",1,3,3,"black"
"627","elbow congressman",2,2,3,"elbow congressman"
"628","safest",1,3,3,"safest"
"629","peaceful",1,15,2.95348837209302,"peaceful"
"630","closest",1,6,2.94117647058824,"closest"
"631","harborwalk",1,5,2.9375,"harborwalk"
"632","relax",1,3,2.8,"relax"
"633","child",1,3,2.78125,"child"
"634","underground rumble",2,2,2.77777777777778,"underground rumble"
"635","beacon",1,99,2.7752808988764,"beacon"
"636","revere",1,12,2.77272727272727,"revere"
"637","3rd",1,2,2.75,"3rd"
"638","chill",1,2,2.75,"chill"
"639","desirable",1,2,2.75,"desirable"
"640","kenmore",1,6,2.73913043478261,"kenmore"
"641","bunker",1,7,2.66666666666667,"bunker"
"642","chestnut",1,3,2.66666666666667,"chestnut"
"643","farmer",1,3,2.66666666666667,"farmer"
"644","quarter",1,2,2.66666666666667,"quarter"
"645","dorchester",1,21,2.65656565656566,"dorchester"
"646","edge",1,2,2.625,"edge"
"647","greenest",1,2,2.5,"greenest"
"648","word",1,2,2.5,"word"
"649","gold",1,3,2.4,"gold"
"650","immigrant",1,8,2.25,"immigrant"
"651","am",1,3,2.2,"am"
"652","property",1,11,2.18918918918919,"property"
"653","settle aisling",2,4,2,"settle aisling"
"654","bull horn",2,2,2,"bull horn"
"655","canto",1,2,2,"canto"
"656","characteristic",1,2,2,"characteristic"
"657","coupling culinary",2,2,2,"coupling culinary"
"658","townhome",1,2,2,"townhome"
"659","award",1,16,1.96153846153846,"award"
"660","lloyd garrison",2,4,1.90909090909091,"lloyd garrison"
"661","midnight",1,2,1.85714285714286,"midnight"
"662","districts",1,11,1.77777777777778,"districts"
"663","underground",1,4,1.77777777777778,"underground"
"664","tight knit",2,3,1.75,"tight knit"
"665","experimental",1,4,1.66666666666667,"experimental"
"666","mission",1,11,1.47368421052632,"mission"
"667","tj",1,3,1.45454545454545,"tj"
"668","discover",1,4,1.42857142857143,"discover"
"669","jone",1,4,1.42857142857143,"jone"
"670","notable",1,4,1.42857142857143,"notable"
"671","primark",1,2,1.28571428571429,"primark"
"672","neighborhood",1,16,1.26923076923077,"neighborhood"
"673","jeffry",1,2,1.25,"jeffry"
